Year,Month,Temperature Anomaly,UC,Temperature
1876,2,-2.016,1.496,-9.546
1876,3,-0.430,3.220,-2.45
1876,4,-1.863,1.380,2.667
1876,5,0.153,1.044,9.213
1876,6,-0.192,1.238,13.378
1876,7,-0.019,1.045,16.351
1876,8,0.049,1.297,15.609
1876,9,-0.264,0.972,10.796
1876,10,-1.467,1.265,3.043
1876,11,-2.139,1.237,-4.259
1876,12,-0.656,1.057,-7.666
1877,1,-1.779,1.438,-11.569
1877,2,-1.710,3.289,-9.24
1877,3,1.068,1.049,-0.952
1877,4,-1.054,1.984,3.476
1877,5,0.497,3.239,9.557
1877,6,-0.657,1.496,12.913
1877,7,0.579,0.893,16.949
1877,8,0.800,1.470,16.36
1877,9,1.905,2.186,12.965
1877,10,-0.742,1.053,3.768
1877,11,-1.263,2.240,-3.383
1877,12,-6.283,4.481,-13.293
1878,1,-3.111,1.765,-12.901
1878,2,-0.609,1.475,-8.139
1878,3,1.130,0.921,-0.89
1878,4,-1.525,1.026,3.005
1878,5,-1.113,1.139,7.947
1878,6,0.091,1.108,13.661
1878,7,1.283,2.076,17.653
1878,8,0.951,2.176,16.511
1878,9,0.581,1.291,11.641
1878,10,-0.395,1.061,4.115
1878,11,-0.415,1.142,-2.535
1878,12,-0.902,2.196,-7.912
1879,1,-0.255,1.402,-10.045
1879,2,0.376,1.217,-7.154
1879,3,1.471,1.227,-0.549
1879,4,1.051,1.091,5.581
1879,5,2.328,1.163,11.388
1879,6,1.395,1.780,14.965
1879,7,0.991,0.971,17.361
1879,8,0.732,0.787,16.292
1879,9,-1.089,1.301,9.971
1879,10,-0.553,0.900,3.957
1879,11,-1.459,1.362,-3.579
1879,12,-0.246,1.457,-7.256
1880,1,-0.897,1.233,-10.687
1880,2,-4.937,2.916,-12.467
1880,3,1.873,1.210,-0.147
1880,4,-1.057,1.089,3.473
1880,5,0.641,1.107,9.701
1880,6,1.454,1.492,15.024
1880,7,-0.239,1.117,16.131
1880,8,0.330,0.975,15.89
1880,9,-0.044,1.242,11.016
1880,10,1.421,1.013,5.931
1880,11,-0.094,1.038,-2.214
1880,12,-0.395,1.221,-7.405
1881,1,2.423,1.583,-7.367
1881,2,1.077,0.911,-6.453
1881,3,1.065,0.815,-0.955
1881,4,1.842,0.835,6.372
1881,5,1.312,1.019,10.372
1881,6,0.221,1.265,13.791
1881,7,0.763,1.241,17.133
1881,8,0.723,1.135,16.283
1881,9,0.114,1.146,11.174
1881,10,-1.349,1.237,3.161
1881,11,-1.501,0.886,-3.621
1881,12,-5.749,1.291,-12.759
1882,1,-2.713,1.265,-12.503
1882,2,-4.711,2.011,-12.241
1882,3,-2.711,1.463,-4.731
1882,4,-0.796,0.751,3.734
1882,5,0.730,0.917,9.79
1882,6,1.581,0.552,15.151
1882,7,-0.293,0.849,16.077
1882,8,1.300,0.615,16.86
1882,9,-0.369,1.293,10.691
1882,10,-2.233,0.592,2.277
1882,11,-0.072,0.871,-2.192
1882,12,0.823,0.854,-6.187
1883,1,-2.452,1.029,-12.242
1883,2,-6.458,1.136,-13.988
1883,3,0.868,0.508,-1.152
1883,4,1.066,0.590,5.596
1883,5,1.648,0.707,10.708
1883,6,2.085,0.577,15.655
1883,7,0.786,0.852,17.156
1883,8,1.401,0.901,16.961
1883,9,-0.438,0.984,10.622
1883,10,-1.628,0.669,2.882
1883,11,-2.309,0.418,-4.429
1883,12,-0.426,1.213,-7.436
1884,1,0.855,0.976,-8.935
1884,2,-1.279,0.556,-8.809
1884,3,-1.628,0.655,-3.648
