Year,Month,Temperature Anamoly,UC,Temperature
1830,7,NaN,NaN,#VALUE!
1830,8,NaN,NaN,#VALUE!
1830,9,-1.272,2.219,4.138
1830,10,-0.520,2.270,-2.54
1830,11,3.450,3.372,-8.06
1830,12,2.630,2.776,-17.07
1831,1,2.382,3.813,-21.118
1831,2,0.817,4.988,-20.103
1831,3,1.008,2.785,-14.732
1831,4,-0.205,2.276,-6.805
1831,5,-0.163,2.912,2.217
1831,6,NaN,NaN,#VALUE!
1831,7,NaN,NaN,#VALUE!
1831,8,NaN,NaN,#VALUE!
1831,9,NaN,NaN,#VALUE!
1831,10,-1.545,2.339,-3.565
1831,11,0.185,2.866,-11.325
1831,12,-2.569,3.914,-22.269
1832,1,1.704,2.508,-21.796
1832,2,-4.067,2.210,-24.987
1832,3,0.320,2.520,-15.42
1832,4,-1.314,2.168,-7.914
1832,5,-0.650,2.555,1.73
1832,6,NaN,NaN,#VALUE!
1832,7,NaN,NaN,#VALUE!
1832,8,NaN,NaN,#VALUE!
1832,9,NaN,NaN,#VALUE!
1832,10,-1.135,2.204,-3.155
1832,11,-1.255,2.400,-12.765
1832,12,-1.528,2.089,-21.228
1833,1,0.865,2.672,-22.635
1833,2,-1.346,2.177,-22.266
1833,3,0.504,2.434,-15.236
1833,4,0.063,2.054,-6.537
1833,5,NaN,NaN,#VALUE!
1833,6,NaN,NaN,#VALUE!
1833,7,NaN,NaN,#VALUE!
1833,8,-0.095,2.051,11.275
1833,9,-0.128,2.124,5.282
1833,10,-1.758,2.013,-3.778
1833,11,0.570,2.616,-10.94
1833,12,0.520,2.764,-19.18
1834,1,-1.467,2.563,-24.967
1834,2,0.174,2.243,-20.746
1834,3,0.567,2.103,-15.173
1834,4,0.066,2.456,-6.534
1834,5,-0.546,2.107,1.834
1834,6,-0.864,2.115,8.386
1834,7,-0.221,2.060,12.649
1834,8,-0.614,2.275,10.756
1834,9,-0.369,2.218,5.041
1834,10,-1.429,2.002,-3.449
1834,11,0.917,2.037,-10.593
1834,12,-0.835,2.044,-20.535
1835,1,1.406,2.163,-22.094
1835,2,-1.601,2.650,-22.521
1835,3,-0.369,2.377,-16.109
1835,4,-1.132,2.158,-7.732
1835,5,-0.818,2.176,1.562
1835,6,-1.045,2.201,8.205
1835,7,-1.506,2.179,11.364
1835,8,NaN,NaN,#VALUE!
1835,9,-1.567,2.226,3.843
1835,10,-2.086,2.251,-4.106
1835,11,-1.522,2.275,-13.032
1835,12,-1.679,2.925,-21.379
1836,1,0.038,2.509,-23.462
1836,2,-1.109,2.137,-22.029
1836,3,-1.026,2.056,-16.766
1836,4,-2.226,2.257,-8.826
1836,5,-0.619,2.077,1.761
1836,6,-0.695,2.142,8.555
1836,7,-1.059,1.900,11.811
1836,8,-1.742,2.975,9.628
1836,9,-1.204,2.353,4.206
1836,10,-2.030,2.567,-4.05
1836,11,-1.320,2.578,-12.83
1836,12,-0.961,2.247,-20.661
1837,1,1.048,2.284,-22.452
1837,2,-0.891,2.278,-21.811
1837,3,-0.696,2.310,-16.436
1837,4,-2.031,1.958,-8.631
1837,5,-1.398,2.673,0.982
1837,6,-1.171,2.301,8.079
1837,7,-1.806,2.361,11.064
1837,8,-1.184,2.092,10.186
