Year,Month,Temperature Anomaly,UC,Temperature 
1771,7,-0.538,2.271,17.272
1771,8,-1.220,2.846,15.65
1771,9,-0.122,2.394,11.978
1771,10,0.317,2.259,6.707
1771,11,-3.091,2.621,-2.111
1771,12,-0.214,3.321,-3.894
1772,1,-0.399,5.421,-7.389
1772,2,-2.701,7.526,-8.701
1772,3,-2.075,3.249,-3.625
1772,4,-0.463,3.429,5.797
1772,5,-2.732,2.217,9.938
1772,6,-1.088,5.143,5.172
1772,7,0.142,3.448,17.952
1772,8,0.061,4.307,16.931
1772,9,-0.197,3.389,11.903
1772,10,0.938,2.564,7.328
1772,11,2.984,5.319,3.964
1772,12,2.190,3.241,-1.49
1773,1,-1.718,2.679,-8.708
1773,2,-0.383,3.650,-6.383
1773,3,-0.043,2.819,-1.593
1773,4,1.767,2.674,8.027
1773,5,2.971,3.048,15.641
1773,6,-0.393,2.629,5.867
1773,7,0.694,2.976,18.504
1773,8,0.279,2.827,17.149
1773,9,1.224,2.687,13.324
1773,10,1.031,2.705,7.421
1773,11,-1.409,6.451,-0.429
1773,12,2.344,4.112,-1.336
1774,1,-2.960,6.081,-9.95
1774,2,1.656,6.033,-4.344
1774,3,0.820,2.969,-0.73
1774,4,1.493,5.439,7.753
1774,5,4.183,2.690,16.853
1774,6,3.015,8.558,9.275
1774,7,2.405,7.858,20.215
1774,8,0.002,3.028,16.872
1774,9,-1.008,2.562,11.092
1774,10,-1.132,5.360,5.258
1774,11,-6.829,5.356,-5.849
1774,12,-2.659,6.232,-6.339
1775,1,0.440,5.694,-6.55
1775,2,2.913,2.476,-3.087
1775,3,2.920,2.213,1.37
1775,4,-1.574,3.439,4.686
1775,5,-0.938,5.315,11.732
1775,6,0.356,4.382,6.616
1775,7,1.651,3.908,19.461
1775,8,2.446,5.087,19.316
1775,9,2.063,5.073,14.163
1775,10,2.252,2.356,8.642
1775,11,-0.616,2.896,0.364
1775,12,-0.434,2.979,-4.114
1776,1,-5.733,2.507,-12.723
1776,2,3.372,2.933,-2.628
1776,3,0.739,3.795,-0.811
1776,4,-1.667,2.946,4.593
1776,5,-0.837,6.465,11.833
1776,6,1.056,2.428,7.316
1776,7,1.147,4.410,18.957
1776,8,0.708,3.173,17.578
1776,9,-0.825,3.452,11.275
1776,10,-1.510,4.794,4.88
1776,11,-1.652,2.929,-0.672
1776,12,0.629,2.575,-3.051
1777,1,1.157,6.513,-5.833
1777,2,-1.141,3.625,-7.141
1777,3,-0.762,2.699,-2.312
1777,4,-3.453,4.270,2.807
1777,5,1.297,2.661,13.967
1777,6,-0.358,4.041,5.902
1777,7,-1.222,2.835,16.588
1777,8,-1.372,2.803,15.498
1777,9,-1.943,5.049,10.157
