Year,Month,TA,UC,T
1844,7,0.755,2.530,-1.615
1844,8,-0.491,2.086,-4.811
1844,9,-0.893,2.127,-12.493
1844,10,0.123,2.528,-20.057
1844,11,-2.199,2.486,-28.719
1844,12,-0.004,2.828,-29.534
1845,1,-1.750,3.254,-31.77
1845,2,-4.778,4.176,-34.468
1845,3,0.878,3.020,-27.892
1845,4,1.822,2.746,-20.568
1845,5,0.179,2.297,-11.861
1845,6,-0.623,2.279,-5.863
1845,7,1.520,2.949,-0.85
1845,8,-0.068,2.199,-4.388
1845,9,-0.358,2.475,-11.958
1845,10,-1.586,2.836,-21.766
1845,11,-0.907,2.500,-27.427
1845,12,-2.069,2.583,-31.599
1846,1,-1.549,3.362,-31.569
1846,2,-0.139,2.238,-29.829
1846,3,0.271,2.099,-28.499
1846,4,1.328,4.605,-21.062
1846,5,0.346,2.448,-11.694
1846,6,-0.739,3.571,-5.979
1846,7,-0.102,2.533,-2.472
1846,8,0.031,2.118,-4.289
1846,9,0.291,2.079,-11.309
1846,10,-1.662,1.998,-21.842
1846,11,0.193,2.385,-26.327
1846,12,2.647,4.476,-26.883
1847,1,4.692,6.512,-25.328
1847,2,3.419,6.586,-26.271
1847,3,5.223,9.722,-23.547
1847,4,2.493,4.774,-19.897
1847,5,0.947,3.633,-11.093
1847,6,0.399,2.105,-4.841
1847,7,-0.371,2.676,-2.741
1847,8,-1.322,2.394,-5.642
1847,9,-0.646,2.127,-12.246
1847,10,0.823,2.790,-19.357
1847,11,-2.499,3.484,-29.019
1847,12,-2.989,3.061,-32.519
1848,1,-1.583,2.263,-31.603
1848,2,-2.405,2.412,-32.095
1848,3,-0.207,2.025,-28.977
1848,4,0.714,3.427,-21.676
1848,5,0.796,4.603,-11.244
1848,6,0.490,3.179,-4.75
1848,7,0.706,2.681,-1.664
1848,8,-0.303,2.469,-4.623
1848,9,0.036,2.719,-11.564
1848,10,0.996,3.212,-19.184
1848,11,-0.208,2.875,-26.728
1848,12,-2.931,3.936,-32.461
1849,1,-4.384,5.327,-34.404
1849,2,-4.106,3.416,-33.796
1849,3,-1.278,2.925,-30.048
1849,4,1.503,5.004,-20.887
1849,5,0.307,3.366,-11.733
1849,6,0.023,2.427,-5.217
1849,7,0.167,1.981,-2.203
1849,8,-0.438,2.136,-4.758
1849,9,0.241,2.450,-11.359
1849,10,-1.100,2.341,-21.28
1849,11,-1.511,2.602,-28.031
1849,12,2.907,6.216,-26.623
1850,1,-0.146,3.801,-30.166
1850,2,-4.389,4.937,-34.079
1850,3,-0.756,2.332,-29.526
1850,4,0.299,2.264,-22.091
1850,5,0.630,4.506,-11.41
1850,6,0.099,2.436,-5.141
1850,7,0.171,2.104,-2.199
1850,8,-0.902,2.258,-5.222
1850,9,0.598,2.228,-11.002
1850,10,-0.019,2.964,-20.199
1850,11,-1.047,2.840,-27.567
1850,12,0.309,2.834,-29.221
1851,1,1.901,4.085,-28.119
1851,2,-1.913,2.327,-31.603
1851,3,1.784,4.670,-26.986
1851,4,1.027,3.270,-21.363
1851,5,-0.133,2.157,-12.173
1851,6,-0.209,2.372,-5.449
1851,7,NaN,NaN,#VALUE!
1851,8,NaN,NaN,#VALUE!
1851,9,-0.430,1.958,-12.03
1851,10,0.175,2.541,-20.005
1851,11,0.522,2.303,-25.998
1851,12,-0.084,2.792,-29.614
1852,1,-2.237,3.541,-32.257
1852,2,-0.786,2.723,-30.476
1852,3,0.023,2.683,-28.747
1852,4,0.266,3.011,-22.124
1852,5,0.274,2.457,-11.766
1852,6,1.014,2.020,-4.226
1852,7,0.673,2.112,-1.697
1852,8,-0.963,2.632,-5.283
1852,9,0.125,2.006,-11.475
1852,10,0.492,2.051,-19.688
1852,11,-0.403,3.220,-26.923
1852,12,0.091,3.082,-29.439
1853,1,-3.589,2.746,-33.609
1853,2,2.495,9.422,-27.195
1853,3,-1.396,2.361,-30.166
1853,4,1.782,4.739,-20.608
1853,5,0.257,2.106,-11.783
1853,6,0.632,1.906,-4.608
1853,7,0.739,2.024,-1.631
1853,8,-0.080,2.418,-4.4
1853,9,-0.725,1.884,-12.325
1853,10,-1.464,2.096,-21.644
1853,11,-2.513,2.155,-29.033
1853,12,0.291,1.901,-29.239
1854,1,0.570,4.869,-29.45
1854,2,-3.754,2.211,-33.444
1854,3,-1.653,2.578,-30.423
1854,4,-1.969,3.177,-24.359
1854,5,-1.386,2.369,-13.426
1854,6,0.181,1.887,-5.059
1854,7,0.991,2.064,-1.379
1854,8,-0.285,2.422,-4.605
1854,9,-0.440,2.400,-12.04
1854,10,-0.440,2.719,-20.62
1854,11,0.239,2.821,-26.281
1854,12,-1.456,3.144,-30.986
1855,1,-0.993,2.154,-31.013
1855,2,0.123,4.351,-29.567
1855,3,-1.884,2.579,-30.654
1855,4,-3.146,5.831,-25.536
1855,5,-2.349,4.180,-14.389
1855,6,-1.423,3.659,-6.663
1855,7,0.089,1.928,-2.281
1855,8,-0.872,1.886,-5.192
1855,9,-1.167,2.163,-12.767
1855,10,-1.787,2.277,-21.967
1855,11,0.512,2.224,-26.008
1855,12,2.525,5.198,-27.005
1856,1,1.807,3.353,-28.213
1856,2,2.860,5.566,-26.83
1856,3,3.673,5.164,-25.097
1856,4,0.758,2.132,-21.632
1856,5,-0.303,1.994,-12.343
1856,6,-0.795,2.793,-6.035
1856,7,0.558,2.159,-1.812
1856,8,-1.215,2.307,-5.535
1856,9,-0.227,1.913,-11.827
1856,10,-0.162,2.133,-20.342
1856,11,1.539,3.320,-24.981
1856,12,0.559,2.998,-28.971
1857,1,-1.058,3.148,-31.078
1857,2,-3.567,2.224,-33.257
1857,3,-0.535,2.278,-29.305
1857,4,-0.774,1.938,-23.164
1857,5,-0.727,1.837,-12.767
1857,6,0.632,2.660,-4.608
1857,7,0.219,2.368,-2.151
1857,8,-0.250,2.100,-4.57
1857,9,-0.110,2.027,-11.71
1857,10,-1.151,2.017,-21.331
1857,11,0.308,2.537,-26.212
1857,12,-1.083,2.189,-30.613
1858,1,-2.929,3.249,-32.949
1858,2,-1.716,2.380,-31.406
1858,3,1.056,3.509,-27.714
1858,4,-1.823,4.046,-24.213
1858,5,-1.754,2.193,-13.794
1858,6,0.467,2.311,-4.773
1858,7,0.437,2.121,-1.933
1858,8,-0.513,2.018,-4.833
1858,9,-1.112,2.232,-12.712
1858,10,-1.150,2.143,-21.33
1858,11,0.971,2.133,-25.549
1858,12,0.308,2.156,-29.222
1859,1,-4.700,5.510,-34.72
1859,2,-5.692,4.812,-35.382
1859,3,-4.110,5.861,-32.88
1859,4,-0.699,2.215,-23.089
1859,5,1.493,4.229,-10.547
1859,6,-0.522,2.215,-5.762
1859,7,-0.503,2.079,-2.873
1859,8,-1.194,1.953,-5.514
1859,9,0.157,2.253,-11.443
1859,10,-0.785,1.919,-20.965
1859,11,-0.111,2.124,-26.631
1859,12,1.061,5.188,-28.469
1860,1,-1.068,2.578,-31.088
1860,2,1.210,6.250,-28.48
1860,3,-2.115,2.676,-30.885
1860,4,-0.121,2.068,-22.511
1860,5,0.384,3.770,-11.656
1860,6,0.380,2.070,-4.86
1860,7,0.477,2.065,-1.893
1860,8,-0.264,1.957,-4.584
1860,9,-0.421,1.956,-12.021
1860,10,-1.898,2.247,-22.078
1860,11,1.112,3.196,-25.408
1860,12,0.912,4.778,-28.618
1861,1,-1.227,2.115,-31.247
1861,2,-2.188,1.938,-31.878
1861,3,-4.613,5.514,-33.383
1861,4,-3.281,6.269,-25.671
1861,5,-0.941,1.992,-12.981
1861,6,-0.378,2.482,-5.618
1861,7,0.027,2.264,-2.343
1861,8,-0.490,1.930,-4.81
1861,9,-0.447,2.083,-12.047
1861,10,-1.149,2.385,-21.329
1861,11,-1.468,2.127,-27.988
1861,12,1.094,2.199,-28.436
1862,1,-2.716,2.301,-32.736
1862,2,1.200,5.345,-28.49
1862,3,-3.282,2.912,-32.052
1862,4,-4.966,6.154,-27.356
1862,5,-0.772,1.975,-12.812
1862,6,-0.786,2.479,-6.026
1862,7,-0.288,1.944,-2.658
1862,8,-0.669,1.942,-4.989
1862,9,-0.787,1.902,-12.387
1862,10,-1.867,2.999,-22.047
1862,11,-1.227,2.098,-27.747
1862,12,-2.626,2.616,-32.156
1863,1,-3.341,4.559,-33.361
1863,2,NaN,NaN,#VALUE!
1863,3,-3.352,4.937,-32.122
1863,4,-2.446,4.730,-24.836
1863,5,-1.041,1.891,-13.081
1863,6,-0.740,2.492,-5.98
1863,7,-1.238,2.362,-3.608
1863,8,-2.029,2.375,-6.349
1863,9,-0.704,2.025,-12.304
1863,10,-2.523,3.105,-22.703
1863,11,-1.501,2.094,-28.021
1863,12,-5.421,6.762,-34.951
1864,1,-2.941,5.788,-32.961
1864,2,-1.708,2.419,-31.398
1864,3,-0.540,3.329,-29.31
1864,4,-2.254,4.286,-24.644
1864,5,0.181,2.343,-11.859
1864,6,-0.329,2.194,-5.569
1864,7,-1.234,3.346,-3.604
1864,8,-0.659,2.137,-4.979
1864,9,0.316,2.284,-11.284
1864,10,0.524,2.289,-19.656
1864,11,0.487,2.406,-26.033
1864,12,1.935,4.428,-27.595
1865,1,-2.747,2.539,-32.767
1865,2,-0.872,3.393,-30.562
1865,3,1.032,4.561,-27.738
1865,4,-2.570,3.118,-24.96
1865,5,-0.889,2.209,-12.929
1865,6,-2.049,3.504,-7.289
1865,7,0.075,2.121,-2.295
1865,8,NaN,NaN,#VALUE!
1865,9,-1.596,2.316,-13.196
1865,10,0.292,2.841,-19.888
1865,11,-0.795,2.005,-27.315
1865,12,-0.169,2.047,-29.699
1866,1,-5.066,2.120,-35.086
1866,2,-3.623,2.336,-33.313
1866,3,-0.642,2.248,-29.412
1866,4,-0.098,1.986,-22.488
1866,5,-0.586,2.147,-12.626
1866,6,-0.398,2.074,-5.638
1866,7,0.237,1.930,-2.133
1866,8,-0.836,2.003,-5.156
1866,9,-0.834,1.892,-12.434
1866,10,-1.324,1.931,-21.504
1866,11,-1.955,1.917,-28.475
