Year,Month,Temperature Anomaly,UC,Temperature
1770,10,0.391,3.460,3.401
1770,11,-2.863,7.725,-5.613
1770,12,-2.442,5.252,-9.082
1771,1,-2.718,3.116,-11.608
1771,2,-2.35,2.472,-10.92
1771,3,-4.598,3.384,-8.878
1771,4,-3.077,5.095,-2.377
1771,5,1.008,8.068,7.788
1771,6,2.59,2.561,14.91
1771,7,-0.311,1.997,13.879
1771,8,-1.126,3.464,11.864
1771,9,-0.599,2.538,7.831
1771,10,-1.1,2.225,1.91
1771,11,-0.712,2.702,-3.462
1771,12,1.516,4.175,-5.124
1772,1,-1.431,8.054,-10.321
1772,2,-4.115,10.177,-12.685
1772,3,-3.821,3.092,-8.101
1772,4,-1.234,3.451,-0.534
1772,5,-2.276,1.724,4.504
1772,6,-0.725,6.848,11.595
1772,7,0.326,4.039,14.516
1772,8,0.025,5.001,13.015
1772,9,-0.708,3.615,7.722
1772,10,1.316,2.750,4.326
1772,11,2.571,6.395,-0.179
1772,12,1.516,4.424,-5.124
1773,1,0.187,2.208,-8.703
1773,2,0.737,3.774,-7.833
1773,3,0.398,2.712,-3.882
1773,4,1.62,2.954,2.32
1773,5,1.56,2.765,8.34
1773,6,-0.629,2.504,11.691
1773,7,0.919,2.885,15.109
1773,8,1.176,3.031,14.166
1773,9,0.539,2.779,8.969
1773,10,0.613,2.736,3.623
1773,11,0.305,7.772,-2.445
1773,12,0.087,5.236,-6.553
1774,1,-5.383,8.043,-14.273
1774,2,0.909,7.689,-7.661
1774,3,-0.535,3.144,-4.815
1774,4,0.525,5.958,1.225
1774,5,1.393,2.897,8.173
1774,6,1.514,10.130,13.834
1774,7,1.304,9.475,15.494
1774,8,0.08,3.232,13.07
1774,9,-0.814,2.665,7.616
1774,10,-0.752,6.431,2.258
1774,11,-5.905,5.613,-8.655
1774,12,-2.547,6.361,-9.187
1775,1,-0.476,6.957,-9.366
1775,2,2.608,2.154,-5.962
1775,3,1.283,1.875,-2.997
1775,4,0.395,3.872,1.095
1775,5,0.613,6.403,7.393
1775,6,1.181,6.126,13.501
1775,7,2.17,3.975,16.36
1775,8,2.234,5.806,15.224
1775,9,2.439,5.240,10.869
1775,10,1.082,2.465,4.092
1775,11,-1.781,2.962,-4.531
1775,12,0.542,3.021,-6.098
1776,1,-5.322,2.166,-14.212
1776,2,1.999,4.953,-6.571
1776,3,0.071,3.198,-4.209
1776,4,-0.016,3.268,0.684
1776,5,-1.125,5.748,5.655
1776,6,1.072,2.242,13.392
1776,7,2.207,4.907,16.397
1776,8,1.097,3.654,14.087
1776,9,-0.543,4.289,7.887
1776,10,-0.32,5.468,2.69
1776,11,-0.034,3.494,-2.784
1776,12,0.363,3.825,-6.277
1777,1,-0.844,7.171,-9.734
1777,2,-1.36,3.000,-9.93
1777,3,-1.647,2.280,-5.927
1777,4,-1.222,4.349,-0.522
1777,5,1.073,2.918,7.853
1777,6,-0.855,4.365,11.465
1777,7,-0.776,3.199,13.414
1777,8,-0.116,2.679,12.874
1777,9,-1.03,5.292,7.4
1777,10,-1.492,4.756,1.518
1777,11,0.817,3.547,-1.933
1777,12,0.01,2.211,-6.63
1778,1,-1.01,4.970,-9.9
1778,2,1.502,3.760,-7.068
1778,3,-1.018,2.811,-5.298
1778,4,1.264,3.474,1.964
1778,5,0.714,2.273,7.494
1778,6,-0.03,8.282,12.29
1778,7,1.618,2.819,15.808
1778,8,-0.096,5.636,12.894
1778,9,-0.626,2.843,7.804
1778,10,-4.53,4.753,-1.52
1778,11,-1.225,5.758,-3.975
1778,12,0.635,2.017,-6.005
1779,1,0.652,9.423,-8.238
1779,2,5.208,11.745,-3.362
1779,3,3.762,3.856,-0.518
1779,4,1.815,4.779,2.515
1779,5,1.019,2.556,7.799
1779,6,-0.564,5.107,11.756
1779,7,0.837,2.255,15.027
1779,8,2.743,3.155,15.733
1779,9,1.207,2.673,9.637
1779,10,1.712,5.028,4.722
1779,11,-0.256,3.175,-3.006
1779,12,-2.53,4.627,-9.17
1780,1,-2.262,5.738,-11.152
1780,2,0.217,6.970,-8.353
1780,3,1.632,2.799,-2.648
1780,4,0.616,2.550,1.316
1780,5,0.299,4.933,7.079
1780,6,-1.631,7.691,10.689
1780,7,0.629,6.016,14.819
1780,8,0.773,7.800,13.763
1780,9,-1.026,4.306,7.404
1780,10,0.036,2.211,3.046
1780,11,-2.684,2.150,-5.434
1780,12,-1.305,3.451,-7.945
1781,1,-0.575,6.479,-9.465
1781,2,-0.22,9.036,-8.79
1781,3,1.391,1.950,-2.889
1781,4,0.13,4.080,0.83
1781,5,-0.952,3.742,5.828
1781,6,0.912,2.198,13.232
1781,7,0.338,2.139,14.528
1781,8,1.855,2.241,14.845
1781,9,2.381,4.626,10.811
1781,10,-1.069,1.412,1.941
1781,11,0.996,3.753,-1.754
1781,12,-2.963,6.062,-9.603
1782,1,0.545,3.560,-8.345
1782,2,0.302,6.798,-8.268
1782,3,-3.042,7.061,-7.322
1782,4,-1.075,2.044,-0.375
1782,5,-2.206,2.222,4.574
1782,6,-0.627,1.622,11.693
