Year,Month,Temp. Anomaly,UC,Temperature
1800,11,0.91,3.33,2.62
1800,12,0.10,1.49,-2.442
1801,1,1.40,2.40,-2.625
1801,2,-0.31,3.89,-2.521
1801,3,2.15,1.55,3.552
1801,4,0.89,1.49,6.647
1801,5,2.53,2.60,13.028
1801,6,-1.12,3.00,12.915
1801,7,-0.13,2.79,15.374
1801,8,-1.02,2.06,13.973
1801,9,1.07,1.50,12.96
1801,10,1.51,5.02,8.31
1801,11,1.39,1.60,3.103
1801,12,0.24,3.22,-2.297
1802,1,-3.01,5.24,-7.029
1802,2,-0.81,4.92,-3.017
1802,3,0.09,2.72,1.489
1802,4,0.46,3.39,6.223
1802,5,-0.61,3.70,9.889
1802,6,1.18,3.28,15.208
1802,7,0.14,2.42,15.637
1802,8,2.55,3.24,17.539
1802,9,-0.03,1.37,11.857
1802,10,2.84,2.99,9.636
1802,11,0.48,2.99,2.194
1802,12,0.47,1.34,-2.066
1803,1,-2.25,3.18,-6.271
1803,2,-3.80,4.27,-6.009
1803,3,-0.76,3.89,0.643
1803,4,2.96,1.82,8.723
1803,5,-1.44,2.36,9.058
1803,6,-0.62,0.79,13.415
1803,7,0.93,2.43,16.431
1803,8,0.92,3.03,15.909
1803,9,-2.42,1.59,9.474
1803,10,-1.07,4.24,5.735
1803,11,0.30,2.28,2.008
1803,12,0.04,2.15,-2.5
1804,1,3.49,6.72,-0.53
1804,2,-1.59,2.29,-3.799
1804,3,-2.16,2.92,-0.757
1804,4,-0.46,1.63,5.303
1804,5,1.45,2.53,11.948
1804,6,0.66,2.13,14.691
1804,7,0.47,1.91,15.966
1804,8,-0.09,2.68,14.901
1804,9,0.80,3.87,12.686
1804,10,0.26,1.30,7.056
1804,11,-2.29,4.52,-0.581
1804,12,-2.49,4.93,-5.031
1805,1,-1.93,1.99,-5.953
1805,2,-1.02,1.48,-3.226
1805,3,-1.59,1.52,-0.194
1805,4,-2.38,2.77,3.382
1805,5,-1.64,1.98,8.859
1805,6,-1.08,2.41,12.951
1805,7,-1.14,1.83,14.357
1805,8,-1.51,2.54,13.482
1805,9,0.10,4.40,11.987
1805,10,-3.53,2.75,3.272
1805,11,-4.04,4.31,-2.332
1805,12,-1.00,2.58,-3.543
1806,1,2.33,3.55,-1.688
1806,2,2.09,2.56,-0.125
1806,3,0.14,1.69,1.544
1806,4,-2.46,3.48,3.301
1806,5,2.51,2.02,13.01
1806,6,0.06,1.57,14.093
1806,7,-0.30,2.01,15.204
1806,8,-0.43,2.20,14.564
1806,9,0.07,4.81,11.96
1806,10,-0.83,2.01,5.966
1806,11,1.44,2.95,3.149
1806,12,3.42,2.93,0.882
1807,1,-0.85,4.50,-4.871
1807,2,1.04,1.07,-1.167
1807,3,-3.01,3.23,-1.612
1807,4,-1.75,2.69,4.007
1807,5,1.83,1.40,12.334
1807,6,-0.07,2.89,13.958
1807,7,2.36,1.52,17.856
1807,8,4.52,2.52,19.51
1807,9,-0.77,1.53,11.118
1807,10,1.29,0.88,8.092
1807,11,1.61,1.51,3.317
1807,12,-0.80,1.66,-3.342
1808,1,-0.42,8.66,-4.436
1808,2,-2.29,2.94,-4.501
1808,3,-6.07,5.08,-4.673
1808,4,-2.30,2.01,3.457
1808,5,2.47,3.75,12.973
1808,6,-0.65,2.39,13.38
1808,7,1.66,2.45,17.157
1808,8,1.58,1.41,16.568
1808,9,0.39,2.45,12.279
1808,10,-2.38,4.30,4.416
1808,11,-0.86,1.98,0.853
1808,12,-5.46,3.32,-7.998
1809,1,-0.53,5.32,-4.549
1809,2,2.19,3.58,-0.02
1809,3,-1.06,4.15,0.338
1809,4,-3.25,4.91,2.51
1809,5,1.36,3.65,11.861
1809,6,0.09,2.36,14.116
1809,7,0.15,3.88,15.653
1809,8,0.68,2.56,15.665
1809,9,-0.51,2.53,11.376
1809,10,-1.60,5.50,5.2
1809,11,-1.67,3.98,0.042
1809,12,0.94,2.88,-1.605
1810,1,-1.78,2.89,-5.795
1810,2,-2.12,4.78,-4.325
1810,3,1.08,2.96,2.481
1810,4,-0.68,2.24,5.077
1810,5,1.14,3.11,11.638
1810,6,-1.52,3.42,12.512
1810,7,0.15,3.63,15.651
1810,8,0.30,2.94,15.286
1810,9,2.18,3.27,14.067
1810,10,-0.04,3.57,6.762
1810,11,-0.14,5.54,1.568
1810,12,1.52,4.40,-1.019
1811,1,-4.04,1.14,-8.064
1811,2,-0.21,3.45,-2.419
1811,3,1.75,5.74,3.152
1811,4,1.20,1.61,6.961
1811,5,3.75,2.97,14.245
1811,6,3.02,3.20,17.045
1811,7,2.33,4.21,17.832
1811,8,0.46,4.57,15.448
1811,9,0.02,4.61,11.912
1811,10,2.92,4.71,9.719
1811,11,0.29,1.78,2
1811,12,-0.81,4.09,-3.349
1812,1,-3.29,7.27,-7.305
1812,2,0.47,4.55,-1.736
1812,3,-0.43,2.41,0.972
1812,4,-3.34,4.90,2.423
1812,5,1.28,1.17,11.78
1812,6,0.11,1.48,14.139
1812,7,-1.08,2.58,14.421
1812,8,-0.52,2.10,14.474
1812,9,-1.66,6.09,10.229
1812,10,0.95,2.71,7.753
1812,11,-2.21,4.51,-0.499
1812,12,-4.97,5.58,-7.508
1813,1,-3.28,4.82,-7.303
1813,2,1.43,2.13,-0.782
1813,3,-0.96,3.89,0.444
1813,4,1.44,3.74,7.202
1813,5,1.23,7.83,11.73
1813,6,-1.86,2.04,12.17
1813,7,-1.73,2.34,13.767
1813,8,-1.84,1.44,13.147
1813,9,-1.85,4.13,10.04
1813,10,-0.59,2.03,6.214
1813,11,-1.53,2.74,0.182
1813,12,0.24,3.89,-2.298
1814,1,-1.26,4.86,-5.277
1814,2,-5.74,2.88,-7.954
1814,3,-1.90,5.19,-0.504
1814,4,1.78,2.56,7.536
1814,5,-2.15,3.88,8.349
1814,6,-1.92,1.62,12.109
1814,7,0.49,3.61,15.992
1814,8,-0.78,2.93,14.214
1814,9,-3.26,2.13,8.632
1814,10,-1.55,4.68,5.254
1814,11,0.33,5.45,2.042
1814,12,1.61,5.23,-0.933
1815,1,-2.58,1.71,-6.596
